,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
KAT6A,-0.01127524329479044,-0.00821960789534444,-0.015613305897986261,-0.013388035689317767,0.0105765552120193,-0.003355925353258011,-0.0007120165864245185,-0.015454888497190577,-0.008438142252753534,0.012709631105506701
KAT6B,0.01130445441564577,0.005859098032255315,0.006904737169346073,0.007952146889949913,0.012618986303823706,-0.0006261122953757041,0.016831057659830822,0.015192406824445195,0.01946748410239978,0.012136553053114044
KAT7,0.02338364080682779,0.011674542350103616,0.020735626919708452,0.012589890916653104,0.0034595348332173113,0.016083249707671974,0.021101014305157918,0.028397409722519903,0.025541907186686693,0.010167797355575076
EP300,0.017803490472314804,0.010770282608351289,0.01809717478332573,0.009379676989686945,-4.1224918284686976e-05,0.01935276320963869,0.015066471616283938,0.0204955273230156,0.014589797667334247,0.006370348000527618
CREBBP,-0.005656484671715129,-0.003997362254396423,-0.009915808268535798,-0.006487935845248062,0.012620820666849174,-0.004961180561585456,0.004399826103242749,-0.007276375898981086,-0.00041934885277428375,0.01233448179748055
NCOA1,0.013250688855820227,0.009989408138232651,0.01414583067540991,0.009554952424648221,0.0028752616444230176,0.01288751302614484,0.012990427824970265,0.01579888867481684,0.011412781834001818,0.005000150427972705
NCOA3,0.009641351283704988,0.00707362634796718,0.011492430412212318,0.005072742813642749,-0.002359048689937506,0.015108894720514224,0.007083554698289388,0.010388669314236296,0.004522657201256572,0.0019184830117781064
TAF1,-0.01214663483810085,-0.008447851138308867,-0.017716074959714143,-0.01199174577700384,0.015368887984400753,-0.00981879949418417,0.0011866542475051547,-0.015391896138204082,-0.005397768668498827,0.014466923769918564
GTF3C1,0.022355328045095983,0.01825798269701517,0.031197441602681,0.01589382402649379,-0.01595208811188109,0.0352144467819363,0.008890113283126902,0.024696048506648378,0.005753121267339594,-0.008369057995544582
CLOCK,0.017809742789229314,0.008637100325149572,0.01735762952094849,0.005691718890456433,-0.0030968850787648845,0.02308250402663698,0.013502885996252864,0.019465861513623662,0.013177645203312785,0.007180471877026671
